filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-312\00957_Aug5.png,0.02716589,16.507431,100.0,15.611847,0.00013524343,0.004231301
B22-312\00957_Aug6.png,0.026493609,16.12619,100.0,15.115082,0.00012840051,0.0030961048
B22-312\00957_Aug7.png,0.027559519,16.675354,100.0,15.739502,0.00013663003,0.0043608043
B22-312\00957_Aug8.png,0.026145697,16.09046,81.0,15.089401,0.0001287783,0.0027979645
B22-312\01047.png,0.03274721,15.390808,81.0,14.317261,0.00011778915,0.0006617861
B22-312\01154.png,0.016375363,13.559113,49.0,13.03537,9.719654e-05,0.0038787534
B22-312\01154_Aug1.png,0.015797377,13.603114,49.0,13.235855,9.663852e-05,0.003948235
B22-312\01154_Aug2.png,0.016390026,13.547073,49.0,13.0199585,9.765342e-05,0.003959342
B22-312\01154_Aug3.png,0.016610146,13.579274,49.0,13.126968,9.6218944e-05,0.0038248994
B22-312\01154_Aug4.png,0.016602993,13.7525835,49.0,13.374084,9.924371e-05,0.003877062
B22-312\01154_Aug5.png,0.01581955,13.623459,49.0,13.345871,9.641441e-05,0.003738294
B22-312\01154_Aug6.png,0.016506135,13.7209215,49.0,13.364487,9.946617e-05,0.003953077
B22-312\01154_Aug7.png,0.016720831,13.693237,49.0,13.413452,9.599507e-05,0.003843403
B22-312\01154_Aug8.png,0.01655674,13.903285,49.0,13.706024,9.981464e-05,0.0038550429
B22-312\01343.png,0.01911664,13.327769,49.0,12.881134,8.636626e-05,0.0002813995
B22-312\01347.png,0.015634239,13.716034,49.0,13.931,9.109255e-05,0.00022974785
B22-312\01461.png,0.021219254,14.582255,49.0,14.457123,0.00010261907,0.00076133164
B22-312\01461_Aug1.png,0.02146548,14.588618,64.0,14.415192,0.00010409203,0.0008027989
B22-312\01461_Aug2.png,0.021584809,14.698959,64.0,14.607513,0.00010292225,0.0008224266
B22-312\01461_Aug3.png,0.021502018,14.349751,49.0,14.128296,0.00010154573,0.0006800685
B22-312\01461_Aug4.png,0.02126652,14.5369215,64.0,14.469452,0.00010236775,0.000698576
B22-312\01461_Aug5.png,0.021650314,14.298345,63.0625,13.986267,0.00010177687,0.0005887394
B22-312\01461_Aug6.png,0.02162242,14.284841,49.0,14.075836,9.9963414e-05,0.00056429545
B22-312\01461_Aug7.png,0.022364795,14.504939,64.0,14.238388,0.00010086545,0.00058126403
B22-312\01461_Aug8.png,0.021891534,14.419856,64.0,14.016968,0.00010235906,0.0006304412
B22-312\01468.png,0.0268808,15.144485,81.0,14.611069,0.00011362722,0.0004956753
B22-312\01679.png,0.028396308,15.067474,81.0,14.28685,0.00011555425,0.00045373957
B22-312\01739.png,0.021028757,14.122502,64.0,13.4470825,0.00010209883,0.0003605507
B22-312\01755.png,0.0177989,13.194417,49.0,12.708969,8.654038e-05,0.00026862344
B22-312\01758.png,0.033053696,16.204443,100.0,14.845444,0.00013510333,0.0006582283
B22-312\01763.png,0.030464113,15.45108,81.0,14.472504,0.0001202017,0.0005060793
B22-312\01764.png,0.027939796,15.304138,81.0,14.486984,0.000120311044,0.00044136084
B22-312\01780.png,0.025098741,15.012874,81.0,13.844727,0.00011349839,0.0033220085
B22-312\01780_Aug1.png,0.025701761,15.059402,81.0,13.828033,0.00011425376,0.0022968973
B22-312\01780_Aug2.png,0.024881065,15.0582075,81.0,13.976105,0.000112532754,0.0022352815
B22-312\01780_Aug3.png,0.026385605,15.26355,81.0,14.09787,0.00011435021,0.002040336
B22-312\01780_Aug4.png,0.026216805,15.139287,81.0,13.952744,0.0001136122,0.00204771
B22-312\01780_Aug5.png,0.02688837,15.299861,81.0,13.920959,0.00011657455,0.0019605432
B22-312\01780_Aug6.png,0.02700013,15.335815,81.0,14.056992,0.0001167306,0.0020279496
B22-312\01780_Aug7.png,0.027981281,15.642552,81.0,14.236084,0.00011910418,0.0018681673
B22-312\01780_Aug8.png,0.027155936,15.515961,81.0,14.250748,0.000119528224,0.0019407043
B22-313\00105.png,0.028393447,21.33407,225.0,20.040924,0.00018924064,0.014776845
B22-313\00105_Aug1.png,0.027309597,21.692942,225.0,20.515,0.00019045807,0.013908109
